Date;Flow
1964-06-20;122.512
1964-06-21;119.045
1964-06-22;115.621
1964-06-23;112.242
1964-06-24;108.906
1964-06-25;107.255
1964-06-26;126.023
1964-06-27;153.728
1964-06-28;185.905
1964-06-29;220.728
1964-06-30;218.475
1964-07-01;207.363
1964-07-02;200.818
1964-07-03;196.505
1964-07-04;192.234
1964-07-05;183.815
1964-07-06;177.61
1964-07-07;167.476
1964-07-08;157.603
1964-07-09;149.895
1964-07-10;144.226
1964-07-11;140.499
1964-07-12;140.499
1964-07-13;144.226
1964-07-14;147.995
1964-07-15;151.807
1964-07-16;155.661
1964-07-17;155.661
1964-07-18;157.603
1964-07-19;163.495
1964-07-20;183.815
1964-07-21;205.171
1964-07-22;227.548
1964-07-23;218.475
1964-07-24;205.171
1964-07-25;194.365
1964-07-26;183.815
1964-07-27;175.562
1964-07-28;167.476
1964-07-29;159.557
1964-07-30;151.807
1964-07-31;147.995
1964-08-01;149.895
1964-08-02;183.815
1964-08-03;218.475
1964-08-04;292.969
1964-08-05;391.252
1964-08-06;429.769
1964-08-07;417.749
1964-08-08;394.158
1964-08-09;362.707
1964-08-10;329.711
1964-08-11;292.969
1964-08-12;265.444
1964-08-13;241.459
1964-08-14;222.991
1964-08-15;209.565
1964-08-16;205.171
1964-08-17;205.171
1964-08-18;232.145
1964-08-19;305.873
1964-08-20;405.879
1964-08-21;544.601
1964-08-22;685.945
1964-08-23;837.316
1964-08-24;1006.13
1964-08-25;1023.76
1964-08-26;1019.34
1964-08-27;1091.04
1964-08-28;1150.87
1964-08-29;1231.21
1964-08-30;1250.46
1964-08-31;1231.21
1964-09-01;1250.46
1964-09-02;1260.13
1964-09-03;1250.46
1964-09-04;1240.82
1964-09-05;1231.21
1964-09-06;1155.53
1964-09-07;1072.92
1964-09-08;966.968
1964-09-09;886.534
1964-09-10;845.434
1964-09-11;809.177
1964-09-12;777.534
1964-09-13;723.496
1964-09-14;656.537
1964-09-15;592.445
1964-09-16;531.257
1964-09-17;473.01
1964-09-18;441.938
1964-09-19;441.938
1964-09-20;448.078
1964-09-21;454.256
1964-09-22;457.358
1964-09-23;460.47
1964-09-24;445.004
1964-09-25;417.749
1964-09-26;376.861
1964-09-27;429.769
1964-09-28;518.057
1964-09-29;613.489
1964-09-30;715.915
1964-10-01;825.205
1964-10-02;1032.62
1964-10-03;1207.33
1964-10-04;1289.34
1964-10-05;1308.98
1964-10-06;1264.98
1964-10-07;1127.69
1964-10-08;1023.76
1964-10-09;878.245
1964-10-10;731.111
1964-10-11;599.424
1964-10-12;469.861
1964-10-13;376.861
1964-10-14;321.678
1964-10-15;285.345
1964-10-16;255.73
1964-10-17;232.145
1964-10-18;211.777
1964-10-19;196.505
1964-10-20;185.905
1964-10-21;200.818
1964-10-22;200.818
1964-10-23;205.171
1964-10-24;236.782
1964-10-25;280.31
1964-10-26;329.711
1964-10-27;429.769
1964-10-28;460.47
1964-10-29;564.89
1964-10-30;592.445
1964-10-31;558.091
1964-11-01;518.057
1964-11-02;485.697
1964-11-03;460.47
1964-11-04;420.74
1964-11-05;371.171
1964-11-06;324.346
1964-11-07;311.102
1964-11-08;277.808
1964-11-09;241.459
1964-11-10;209.565
1964-11-11;183.815
1964-11-12;163.495
1964-11-13;144.226
1964-11-14;129.578
1964-11-15;119.045
1964-11-16;108.906
1964-11-17;100.76
1964-11-18;97.5797
1964-11-19;96.0063
1964-11-20;92.8931
1964-11-21;91.3534
1964-11-22;91.3534
1964-11-23;91.3534
1964-11-24;85.3078
1964-11-25;79.4443
1964-11-26;73.7646
1964-11-27;68.2704
1964-11-28;64.2724
1964-11-29;59.1071
1964-11-30;56.5957
1964-12-01;52.9187
1964-12-02;83.8248
1964-12-03;134.99
1964-12-04;138.652
1964-12-05;131.371
1964-12-06;126.023
1964-12-07;113.926
1964-12-08;94.4441
1964-12-09;80.893
1964-12-10;69.6264
1964-12-11;62.9633
1964-12-12;59.1071
1964-12-13;59.1071
1964-12-14;82.3532
1964-12-15;107.255
1964-12-16;117.328
1964-12-17;105.614
1964-12-18;89.825
1964-12-19;82.3532
1964-12-20;68.2704
1964-12-21;51.7171
1964-12-22;43.6471
1964-12-23;38.2531
1964-12-24;34.1639
1964-12-25;33.1734
1964-12-26;35.1672
1964-12-27;40.3732
1964-12-28;54.1323
1964-12-29;92.8931
1964-12-30;163.495
1964-12-31;319.019
1965-01-01;423.74
1965-01-02;394.158
1965-01-03;290.418
1965-01-04;227.548
1965-01-05;205.171
1965-01-06;181.736
1965-01-07;183.815
1965-01-08;179.668
1965-01-09;159.557
1965-01-10;140.499
1965-01-11;126.023
1965-01-12;108.906
1965-01-13;92.8931
1965-01-14;78.0071
1965-01-15;66.926
1965-01-16;56.5957
1965-01-17;49.3503
1965-01-18;42.5434
1965-01-19;37.2118
1965-01-20;34.1639
1965-01-21;32.1956
1965-01-22;29.3397
1965-01-23;24.8402
1965-01-24;23.1329
1965-01-25;20.6723
1965-01-26;19.0997
1965-01-27;18.3339
1965-01-28;16.8436
1965-01-29;15.409
1965-01-30;14.0307
1965-01-31;13.3628
1965-02-01;12.7093
1965-02-02;14.7128
1965-02-03;17.5818
1965-02-04;21.479
1965-02-05;24.8402
1965-02-06;29.3397
1965-02-07;32.1956
1965-02-08;30.2787
1965-02-09;28.4136
1965-02-10;28.4136
1965-02-11;24.8402
1965-02-12;23.9799
1965-02-13;23.1329
1965-02-14;21.479
1965-02-15;19.0997
1965-02-16;17.5818
1965-02-17;16.1193
1965-02-18;15.409
1965-02-19;14.0307
1965-02-20;12.7093
1965-02-21;12.7093
1965-02-22;12.0702
1965-02-23;11.4455
1965-02-24;12.0702
1965-02-25;12.7093
1965-02-26;12.7093
1965-02-27;12.7093
1965-02-28;12.7093
1965-03-01;12.0702
1965-03-02;12.0702
1965-03-03;12.0702
1965-03-04;12.7093
1965-03-05;14.0307
1965-03-06;14.0307
1965-03-07;14.7128
1965-03-08;14.0307
1965-03-09;14.0307
1965-03-10;14.0307
1965-03-11;14.0307
1965-03-12;13.3628
1965-03-13;12.7093
1965-03-14;12.7093
1965-03-15;12.7093
1965-03-16;12.7093
1965-03-17;14.0307
1965-03-18;19.0997
1965-03-19;19.8792
1965-03-20;21.479
1965-03-21;20.6723
1965-03-22;19.8792
1965-03-23;17.5818
1965-03-24;19.0997
1965-03-25;21.479
1965-03-26;22.2992
1965-03-27;22.2992
1965-03-28;23.1329
1965-03-29;23.9799
1965-03-30;24.8402
1965-03-31;26.6006
1965-04-01;28.4136
1965-04-02;28.4136
1965-04-03;29.3397
1965-04-04;29.3397
1965-04-05;29.3397
1965-04-06;28.4136
1965-04-07;26.6006
1965-04-08;49.3503
1965-04-09;78.0071
1965-04-10;102.367
1965-04-11;146.105
1965-04-12;144.226
1965-04-13;119.045
1965-04-14;105.614
1965-04-15;105.614
1965-04-16;173.525
1965-04-17;265.444
1965-04-18;606.438
1965-04-19;738.761
1965-04-20;785.393
1965-04-21;746.446
1965-04-22;606.438
1965-04-23;505.004
1965-04-24;508.253
1965-04-25;466.722
1965-04-26;400.0
1965-04-27;337.83
1965-04-28;316.371
1965-04-29;285.345
1965-04-30;265.444
1965-05-01;236.782
1965-05-02;216.233
1965-05-03;200.818
1965-05-04;185.905
1965-05-05;167.476
1965-05-06;167.476
1965-05-07;196.505
1965-05-08;280.31
1965-05-09;368.34
1965-05-10;445.004
1965-05-11;454.256
1965-05-12;423.74
1965-05-13;382.589
1965-05-14;337.83
1965-05-15;316.371
1965-05-16;340.556
1965-05-17;374.011
1965-05-18;376.861
1965-05-19;343.292
1965-05-20;305.873
1965-05-21;272.833
1965-05-22;243.813
1965-05-23;216.233
1965-05-24;192.234
1965-05-25;171.498
1965-05-26;157.603
1965-05-27;140.499
1965-05-28;133.175
1965-05-29;129.578
1965-05-30;126.023
1965-05-31;122.512
1965-06-01;126.023
1965-06-02;183.815
1965-06-03;260.567
1965-06-04;298.102
1965-06-05;316.371
1965-06-06;346.036
1965-06-07;405.879
1965-06-08;599.424
1965-06-09;685.945
1965-06-10;723.496
1965-06-11;761.921
1965-06-12;731.111
1965-06-13;678.54
1965-06-14;620.575
1965-06-15;571.725
1965-06-16;514.78
1965-06-17;473.01
1965-06-18;417.749
1965-06-19;376.861
1965-06-20;335.114
1965-06-21;303.273
1965-06-22;272.833
1965-06-23;250.933
1965-06-24;236.782
1965-06-25;214.0
1965-06-26;200.818
1965-06-27;190.114
1965-06-28;179.668
1965-06-29;167.476
1965-06-30;159.557
1965-07-01;159.557
1965-07-02;183.815
1965-07-03;211.777
1965-07-04;248.55
1965-07-05;290.418
1965-07-06;359.905
1965-07-07;397.074
1965-07-08;382.589
1965-07-09;348.791
1965-07-10;348.791
1965-07-11;316.371
1965-07-12;275.315
1965-07-13;246.176
1965-07-14;232.145
1965-07-15;218.475
1965-07-16;205.171
1965-07-17;192.234
1965-07-18;179.668
1965-07-19;192.234
1965-07-20;239.115
1965-07-21;255.73
1965-07-22;222.991
1965-07-23;194.365
1965-07-24;188.004
1965-07-25;185.905
1965-07-26;179.668
1965-07-27;163.495
1965-07-28;155.661
1965-07-29;147.995
1965-07-30;140.499
1965-07-31;136.816
1965-08-01;133.175
1965-08-02;126.023
1965-08-03;165.48
1965-08-04;179.668
1965-08-05;181.736
1965-08-06;232.145
1965-08-07;321.678
1965-08-08;382.589
1965-08-09;423.74
1965-08-10;402.934
1965-08-11;379.72
1965-08-12;376.861
1965-08-13;376.861
1965-08-14;551.328
1965-08-15;613.489
1965-08-16;620.575
1965-08-17;742.599
1965-08-18;915.811
1965-08-19;1037.07
1965-08-20;1077.44
1965-08-21;1109.3
1965-08-22;1174.25
1965-08-23;1255.29
1965-08-24;1348.65
1965-08-25;1481.14
1965-08-26;1635.29
1965-08-27;1878.3
1965-08-28;2201.0
1965-08-29;2288.01
1965-08-30;2288.01
1965-08-31;2294.76
1965-09-01;2288.01
1965-09-02;2301.51
1965-09-03;2458.87
1965-09-04;2627.2
1965-09-05;2627.2
1965-09-06;2669.93
1965-09-07;2785.14
1965-09-08;2916.93
1965-09-09;3081.08
1965-09-10;3341.33
1965-09-11;3593.44
1965-09-12;3601.43
1965-09-13;3625.43
1965-09-14;3835.98
1965-09-15;4109.58
1965-09-16;4372.98
1965-09-17;4616.12
1965-09-18;4783.91
1965-09-19;4739.54
1965-09-20;4511.31
1965-09-21;4236.26
1965-09-22;3819.63
1965-09-23;3271.67
1965-09-24;2763.4
1965-09-25;2362.62
1965-09-26;2011.49
1965-09-27;1785.27
1965-09-28;1597.47
1965-09-29;1486.34
1965-09-30;1363.66
1965-10-01;1221.63
1965-10-02;1045.98
1965-10-03;949.781
1965-10-04;857.674
1965-10-05;777.534
1965-10-06;793.286
1965-10-07;809.177
1965-10-08;738.761
1965-10-09;678.54
1965-10-10;624.131
1965-10-11;551.328
1965-10-12;518.057
1965-10-13;460.47
1965-10-14;426.75
1965-10-15;405.879
1965-10-16;388.355
1965-10-17;368.34
1965-10-18;348.791
1965-10-19;327.023
1965-10-20;305.873
1965-10-21;292.969
1965-10-22;441.938
1965-10-23;631.27
1965-10-24;1231.21
1965-10-25;1730.3
1965-10-26;2056.65
1965-10-27;2362.62
1965-10-28;2669.93
1965-10-29;2916.93
1965-10-30;2976.23
1965-10-31;2976.23
1965-11-01;2902.17
1965-11-02;2785.14
1965-11-03;2613.01
1965-11-04;2417.44
1965-11-05;2187.72
1965-11-06;1916.0
1965-11-07;1576.03
1965-11-08;1221.63
1965-11-09;1010.53
1965-11-10;841.371
1965-11-11;754.166
1965-11-12;667.499
1965-11-13;613.489
1965-11-14;606.438
1965-11-15;613.489
1965-11-16;613.489
1965-11-17;609.959
1965-11-18;568.303
1965-11-19;534.579
1965-11-20;498.532
1965-11-21;460.47
1965-11-22;423.74
1965-11-23;379.72
1965-11-24;343.292
1965-11-25;316.371
1965-11-26;295.53
1965-11-27;282.822
1965-11-28;270.36
1965-11-29;258.144
1965-11-30;253.327
1965-12-01;246.176
1965-12-02;246.176
1965-12-03;263.001
1965-12-04;435.835
1965-12-05;685.945
1965-12-06;761.921
1965-12-07;833.271
1965-12-08;971.286
1965-12-09;865.877
1965-12-10;801.214
1965-12-11;793.286
1965-12-12;758.039
1965-12-13;719.701
1965-12-14;715.915
1965-12-15;712.138
1965-12-16;685.945
1965-12-17;609.959
1965-12-18;678.54
1965-12-19;924.253
1965-12-20;1059.41
1965-12-21;1565.36
1965-12-22;1884.56
1965-12-23;2089.13
1965-12-24;2267.82
1965-12-25;2641.41
1965-12-26;2814.23
1965-12-27;2968.79
1965-12-28;2976.23
1965-12-29;2916.93
1965-12-30;2741.73
1965-12-31;2479.68
1966-01-01;2161.27
1966-01-02;1840.87
1966-01-03;1517.73
1966-01-04;1318.85
1966-01-05;1146.22
1966-01-06;949.781
1966-01-07;785.393
1966-01-08;682.238
1966-01-09;578.596
1966-01-10;498.532
1966-01-11;448.078
1966-01-12;385.467
1966-01-13;337.83
1966-01-14;300.682
1966-01-15;260.567
1966-01-16;222.991
1966-01-17;202.989
1966-01-18;185.905
1966-01-19;169.482
1966-01-20;153.728
1966-01-21;144.226
1966-01-22;136.816
1966-01-23;136.816
1966-01-24;343.292
1966-01-25;585.503
1966-01-26;571.725
1966-01-27;606.438
1966-01-28;685.945
1966-01-29;685.945
1966-01-30;592.445
1966-01-31;492.096
1966-02-01;432.797
1966-02-02;382.589
1966-02-03;365.519
1966-02-04;359.905
1966-02-05;348.791
1966-02-06;329.711
1966-02-07;300.682
1966-02-08;290.418
1966-02-09;290.418
1966-02-10;285.345
1966-02-11;277.808
1966-02-12;260.567
1966-02-13;239.115
1966-02-14;227.548
1966-02-15;214.0
1966-02-16;177.61
1966-02-17;179.668
1966-02-18;188.004
1966-02-19;214.0
1966-02-20;319.019
1966-02-21;429.769
1966-02-22;498.532
1966-02-23;544.601
1966-02-24;595.93
1966-02-25;617.027
1966-02-26;575.156
1966-02-27;558.091
1966-02-28;551.328
1966-03-01;599.424
1966-03-02;700.86
1966-03-03;874.114
1966-03-04;966.968
1966-03-05;1160.2
1966-03-06;1245.63
1966-03-07;1308.98
1966-03-08;1388.83
1966-03-09;1429.54
1966-03-10;1429.54
1966-03-11;1419.31
1966-03-12;1414.21
1966-03-13;1409.12
1966-03-14;1318.85
1966-03-15;1146.22
1966-03-16;993.003
1966-03-17;865.877
1966-03-18;777.534
1966-03-19;682.238
1966-03-20;941.237
1966-03-21;1393.89
1966-03-22;1909.7
1966-03-23;2148.08
1966-03-24;2472.74
1966-03-25;2814.23
1966-03-26;3156.8
1966-03-27;3419.38
1966-03-28;3713.97
1966-03-29;3934.65
1966-03-30;4017.59
1966-03-31;4390.18
1966-04-01;4433.3
1966-04-02;4390.18
1966-04-03;4185.41
1966-04-04;4025.92
1966-04-05;3885.2
1966-04-06;3665.58
1966-04-07;3593.44
1966-04-08;3482.3
1966-04-09;3349.11
1966-04-10;3066.02
1966-04-11;2655.66
1966-04-12;2187.72
1966-04-13;1773.0
1966-04-14;1465.57
1966-04-15;1193.11
1966-04-16;979.948
1966-04-17;849.505
1966-04-18;731.111
1966-04-19;817.174
1966-04-20;1095.6
1966-04-21;1146.22
1966-04-22;1136.94
1966-04-23;1348.65
1966-04-24;1512.48
1966-04-25;1602.84
1966-04-26;1718.18
1966-04-27;1803.73
1966-04-28;1785.27
1966-04-29;1701.02
1966-04-30;1608.23
1966-05-01;1470.75
1966-05-02;1358.65
1966-05-03;1284.45
1966-05-04;1231.21
1966-05-05;1174.25
1966-05-06;1118.48
1966-05-07;1019.34
1966-05-08;915.811
1966-05-09;754.166
1966-05-10;671.17
1966-05-11;638.445
1966-05-12;578.596
1966-05-13;511.512
1966-05-14;466.722
1966-05-15;448.078
1966-05-16;385.467
1966-05-17;354.329
1966-05-18;332.408
1966-05-19;311.102
1966-05-20;290.418
1966-05-21;280.31
1966-05-22;275.315
1966-05-23;272.833
1966-05-24;272.833
1966-05-25;275.315
1966-05-26;277.808
1966-05-27;275.315
1966-05-28;255.73
1966-05-29;253.327
1966-05-30;250.933
1966-05-31;260.567
1966-06-01;292.969
1966-06-02;321.678
1966-06-03;305.873
1966-06-04;275.315
1966-06-05;255.73
1966-06-06;255.73
1966-06-07;234.458
1966-06-08;225.265
1966-06-09;218.475
1966-06-10;214.0
1966-06-11;209.565
1966-06-12;232.145
1966-06-13;316.371
1966-06-14;466.722
1966-06-15;734.932
1966-06-16;857.674
1966-06-17;1081.96
1966-06-18;1289.34
1966-06-19;1502.0
1966-06-20;1706.55
1966-06-21;1853.32
1966-06-22;1941.3
1966-06-23;2024.36
1966-06-24;1973.09
1966-06-25;1760.76
1966-06-26;1712.12
1966-06-27;1640.72
1966-06-28;1640.72
1966-06-29;1640.72
1966-06-30;1673.49
1966-07-01;1779.13
1966-07-02;1909.7
1966-07-03;1928.63
1966-07-04;1890.83
1966-07-05;1754.65
1966-07-06;1570.69
1966-07-07;1429.54
1966-07-08;1304.06
1966-07-09;1169.56
1966-07-10;1050.45
1966-07-11;920.028
1966-07-12;758.039
1966-07-13;685.945
1966-07-14;649.274
1966-07-15;645.655
1966-07-16;663.836
1966-07-17;723.496
1966-07-18;801.214
1966-07-19;1050.45
1966-07-20;1294.24
1966-07-21;1748.55
1966-07-22;2241.0
1966-07-23;2734.51
1966-07-24;3341.33
1966-07-25;3934.65
1966-07-26;4546.15
1966-07-27;5171.87
1966-07-28;5486.59
1966-07-29;5731.94
1966-07-30;5760.5
1966-07-31;5674.96
1966-08-01;5486.59
1966-08-02;5226.9
1966-08-03;4917.96
1966-08-04;4642.47
1966-08-05;4476.58
1966-08-06;4321.52
1966-08-07;4117.98
1966-08-08;3893.42
1966-08-09;3529.77
1966-08-10;3081.08
1966-08-11;2698.56
1966-08-12;2403.69
1966-08-13;2108.71
1966-08-14;1916.0
1966-08-15;1718.18
1966-08-16;1544.11
1966-08-17;1368.68
1966-08-18;1207.33
1966-08-19;1081.96
1966-08-20;971.286
1966-08-21;837.316
1966-08-22;754.166
1966-08-23;682.238
1966-08-24;617.027
1966-08-25;575.156
1966-08-26;521.343
1966-08-27;479.335
1966-08-28;441.938
1966-08-29;429.769
1966-08-30;441.938
1966-08-31;473.01
1966-09-01;534.579
1966-09-02;671.17
1966-09-03;411.795
1966-09-04;451.163
1966-09-05;466.722
1966-09-06;451.163
1966-09-07;482.512
1966-09-08;781.459
1966-09-09;1358.65
1966-09-10;1662.54
1966-09-11;1947.64
1966-09-12;2396.83
1966-09-13;2613.01
1966-09-14;2887.44
1966-09-15;3134.01
1966-09-16;3325.8
1966-09-17;3419.38
1966-09-18;3427.22
1966-09-19;3341.33
1966-09-20;3126.43
1966-09-21;2698.56
1966-09-22;2321.81
1966-09-23;1953.99
1966-09-24;1706.55
1966-09-25;1308.98
1966-09-26;1318.85
1966-09-27;1368.68
1966-09-28;1160.2
1966-09-29;1028.19
1966-09-30;624.131
1966-10-01;704.611
1966-10-02;899.03
1966-10-03;1054.92
1966-10-04;1136.94
1966-10-05;1207.33
1966-10-06;1450.08
1966-10-07;1718.18
1966-10-08;1791.41
1966-10-09;1803.73
1966-10-10;1730.3
1966-10-11;1640.72
1966-10-12;1673.49
1966-10-13;1651.61
1966-10-14;1533.53
1966-10-15;1544.11
1966-10-16;1640.72
1966-10-17;1629.86
1966-10-18;1502.0
1966-10-19;1378.74
1966-10-20;1299.15
1966-10-21;1212.09
1966-10-22;1250.46
1966-10-23;1174.25
1966-10-24;1086.5
1966-10-25;1019.34
1966-10-26;1001.75
1966-10-27;1006.13
1966-10-28;928.486
1966-10-29;886.534
1966-10-30;932.728
1966-10-31;1006.13
1966-11-01;993.003
1966-11-02;890.691
1966-11-03;785.393
1966-11-04;723.496
1966-11-05;671.17
1966-11-06;585.503
1966-11-07;518.057
1966-11-08;492.096
1966-11-09;441.938
1966-11-10;448.078
1966-11-11;841.371
1966-11-12;1429.54
1966-11-13;1586.73
1966-11-14;1560.03
1966-11-15;1684.48
1966-11-16;1766.87
1966-11-17;1797.57
1966-11-18;1816.08
1966-11-19;1828.46
1966-11-20;1706.55
1966-11-21;1522.99
1966-11-22;1328.75
1966-11-23;1155.53
1966-11-24;1001.75
1966-11-25;825.205
1966-11-26;678.54
1966-11-27;534.579
1966-11-28;411.795
1966-11-29;371.171
1966-11-30;351.555
1966-12-01;337.83
1966-12-02;324.346
1966-12-03;319.019
1966-12-04;451.163
1966-12-05;949.781
1966-12-06;993.003
1966-12-07;1160.2
1966-12-08;1240.82
1966-12-09;1250.46
1966-12-10;1368.68
1966-12-11;1640.72
1966-12-12;1941.3
1966-12-13;2201.0
1966-12-14;2451.95
1966-12-15;2968.79
1966-12-16;3126.43
1966-12-17;3248.57
1966-12-18;3380.27
1966-12-19;3498.09
1966-12-20;3625.43
1966-12-21;3705.88
1966-12-22;3673.62
1966-12-23;3372.47
1966-12-24;2961.36
1966-12-25;2598.85
1966-12-26;2115.26
1966-12-27;1706.55
1966-12-28;1348.65
1966-12-29;1050.45
1966-12-30;817.174
1966-12-31;656.537
1967-01-01;578.596
1967-01-02;460.47
1967-01-03;417.749
1967-01-04;394.158
1967-01-05;508.253
1967-01-06;534.579
1967-01-07;537.911
1967-01-08;501.763
1967-01-09;457.358
1967-01-10;371.171
1967-01-11;327.023
1967-01-12;298.102
1967-01-13;265.444
1967-01-14;229.841
1967-01-15;205.171
1967-01-16;188.004
1967-01-17;175.562
1967-01-18;165.48
1967-01-19;157.603
1967-01-20;177.61
1967-01-21;209.565
1967-01-22;243.813
1967-01-23;250.933
1967-01-24;260.567
1967-01-25;265.444
1967-01-26;246.176
1967-01-27;222.991
1967-01-28;194.365
1967-01-29;171.498
1967-01-30;155.661
1967-01-31;140.499
1967-02-01;136.816
1967-02-02;131.371
1967-02-03;124.262
1967-02-04;115.621
1967-02-05;110.568
1967-02-06;105.614
1967-02-07;103.985
1967-02-08;102.367
1967-02-09;102.367
1967-02-10;102.367
1967-02-11;102.367
1967-02-12;105.614
1967-02-13;112.242
1967-02-14;108.906
1967-02-15;112.242
1967-02-16;112.242
1967-02-17;112.242
1967-02-18;112.242
1967-02-19;108.906
1967-02-20;108.906
1967-02-21;108.906
1967-02-22;105.614
1967-02-23;102.367
1967-02-24;108.906
1967-02-25;165.48
1967-02-26;134.99
1967-02-27;134.99
1967-02-28;131.371
1967-03-01;175.562
1967-03-02;209.565
1967-03-03;270.36
1967-03-04;405.879
1967-03-05;645.655
1967-03-06;727.299
1967-03-07;656.537
1967-03-08;551.328
1967-03-09;479.335
1967-03-10;429.769
1967-03-11;376.861
1967-03-12;348.791
1967-03-13;303.273
1967-03-14;265.444
1967-03-15;236.782
1967-03-16;216.233
1967-03-17;200.818
1967-03-18;183.815
1967-03-19;161.521
1967-03-20;140.499
1967-03-21;140.499
1967-03-22;144.226
1967-03-23;151.807
1967-03-24;153.728
1967-03-25;147.995
1967-03-26;140.499
1967-03-27;134.99
1967-03-28;131.371
1967-03-29;129.578
1967-03-30;129.578
1967-03-31;127.795
1967-04-01;127.795
1967-04-02;126.023
1967-04-03;140.499
1967-04-04;167.476
1967-04-05;183.815
1967-04-06;192.234
1967-04-07;185.905
1967-04-08;175.562
1967-04-09;171.498
1967-04-10;163.495
1967-04-11;155.661
1967-04-12;142.357
1967-04-13;136.816
1967-04-14;151.807
1967-04-15;155.661
1967-04-16;159.557
1967-04-17;159.557
1967-04-18;155.661
1967-04-19;147.995
1967-04-20;144.226
1967-04-21;140.499
1967-04-22;136.816
1967-04-23;133.175
1967-04-24;129.578
1967-04-25;124.262
1967-04-26;120.773
1967-04-27;117.328
1967-04-28;115.621
1967-04-29;112.242
1967-04-30;112.242
1967-05-01;112.242
1967-05-02;110.568
1967-05-03;110.568
1967-05-04;108.906
1967-05-05;107.255
1967-05-06;105.614
1967-05-07;105.614
1967-05-08;103.985
1967-05-09;100.76
1967-05-10;100.76
1967-05-11;99.1643
1967-05-12;99.1643
1967-05-13;99.1643
1967-05-14;97.5797
1967-05-15;97.5797
1967-05-16;99.1643
1967-05-17;100.76
1967-05-18;102.367
1967-05-19;119.045
1967-05-20;167.476
1967-05-21;260.567
1967-05-22;663.836
1967-05-23;1032.62
1967-05-24;997.371
1967-05-25;899.03
1967-05-26;809.177
1967-05-27;723.496
1967-05-28;1141.57
1967-05-29;1269.83
1967-05-30;1136.94
1967-05-31;984.291
1967-06-01;1095.6
1967-06-02;1050.45
1967-06-03;1164.87
1967-06-04;1308.98
1967-06-05;1460.4
1967-06-06;1554.72
1967-06-07;1576.03
1967-06-08;1486.34
1967-06-09;1348.65
1967-06-10;1231.21
1967-06-11;1081.96
1967-06-12;949.781
1967-06-13;857.674
1967-06-14;754.166
1967-06-15;649.274
1967-06-16;558.091
1967-06-17;505.004
1967-06-18;394.158
1967-06-19;354.329
1967-06-20;343.292
1967-06-21;359.905
1967-06-22;435.835
1967-06-23;445.004
1967-06-24;451.163
1967-06-25;469.861
1967-06-26;495.309
1967-06-27;524.639
1967-06-28;678.54
1967-06-29;962.659
1967-06-30;1264.98
1967-07-01;1444.93
1967-07-02;1544.11
1967-07-03;1586.73
1967-07-04;1619.03
1967-07-05;1576.03
1967-07-06;1544.11
1967-07-07;1565.36
1967-07-08;1673.49
1967-07-09;1724.23
1967-07-10;1701.02
1967-07-11;1668.01
1967-07-12;1640.72
1967-07-13;1581.38
